Departure,Return,Departure station,Return station,Memebership type,Covered distance (m),Duration (sec.),Departure battery voltage (mV),Return battery voltage (mV),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2022-01-01 1:00,2022-01-01 1:00,0133 Ontario & 16th,0001 10th & Cambie,365 Standard,1241,611,3486,3534,-2,-3,0,0
2022-01-01 1:00,2022-01-01 1:00,0139 Burrard & 4th,0065 Cypress & Cornwall,365 Corporate Standard Renewal,731,233,3416,3569,-2,0,0,0
2022-01-01 1:00,2022-01-01 2:00,0076 Cypress & 4th,0032 Comox & Denman,365 Plus,3602,1381,3671,3831,-3,0,0,0
2022-01-01 1:00,2022-01-01 2:00,0015 Granville & Georgia,0102 Stanley Park - Second Beach North,Archived Monthly Plus,4251,1466,3503,3900,0,0,0,0
2022-01-01 2:00,2022-01-01 3:00,0004 Yaletown-Roundhouse Station,0005 Dunsmuir & Beatty,365 Plus,1174,588,3737,3840,-2,-7,0,0
2022-01-01 2:00,2022-01-01 3:00,0009 Spyglass & Seawall,0071 14th & Granville,30 Day Pass,3099,1197,3610,3777,-2,-5,0,0
2022-01-01 2:00,2022-01-01 3:00,0102 Stanley Park - Second Beach North,0045 Beach & Hornby,Archived Monthly Plus,2938,1237,3573,3737,-1,-1,0,0
2022-01-01 3:00,2022-01-01 3:00,0053 Keefer & Abbott,0011 Ontario & Seawall,365 Plus,1531,491,3421,3744,-1,0,0,0
2022-01-01 5:00,2022-01-01 5:00,0287 Carolina & Great Northern Way,0126 Thurlow & Pendrell,365 Plus,4578,1562,3487,3811,-2,0,0,0
2022-01-01 7:00,2022-01-01 7:00,0005 Dunsmuir & Beatty,0190 Melville & Bute,Community Pass,1394,571,3355,3524,-1,-1,0,0
2022-01-01 8:00,2022-01-01 9:00,0213 Pender & Gore,0009 Spyglass & Seawall,30 Day Pass,2403,793,3534,3737,-1,0,0,0
2022-01-01 8:00,2022-01-01 9:00,0084 Beach & Broughton,0028 Davie & Beach,365 Day Founding Plus,822,386,3615,3768,0,0,0,0
2022-01-01 9:00,2022-01-01 9:00,0028 Davie & Beach,0084 Beach & Broughton,365 Day Founding Plus,3336,2014,3660,3930,0,1,0,0
2022-01-01 10:00,2022-01-01 10:00,0209 Stanley Park - Information Booth,0209 Stanley Park - Information Booth,24 Hour,2,114,3673,3745,0,0,0,0
2022-01-01 10:00,2022-01-01 10:00,0019 Robson & Hornby,0026 Beatty & Robson,365 Corporate Plus,865,350,3803,3881,1,1,0,0
2022-01-01 10:00,2022-01-01 10:00,0032 Comox & Denman,0040 Cardero & Davie,30 Day Pass,494,311,3698,3876,0,0,0,0
2022-01-01 10:00,2022-01-01 11:00,0209 Stanley Park - Information Booth,0100 Stanley Park - Prospect Point,24 Hour,5674,3546,3520,3584,0,1,0,0
2022-01-01 10:00,2022-01-01 11:00,0209 Stanley Park - Information Booth,0100 Stanley Park - Prospect Point,24 Hour,5689,3770,3724,3853,0,0,0,0
2022-01-01 11:00,2022-01-01 11:00,0019 Robson & Hornby,0041 Cardero & Robson,365 Standard,1104,546,3839,3948,1,2,0,0
2022-01-01 11:00,2022-01-01 11:00,0084 Beach & Broughton,0084 Beach & Broughton,365 Day Founding Plus,161,84,3748,3840,1,1,0,0
2022-01-01 11:00,2022-01-01 11:00,0088 Harwood & Bute,0063 Robson & Granville,365 Standard,1556,421,3387,3547,1,4,0,0
2022-01-01 11:00,2022-01-01 12:00,0100 Stanley Park - Prospect Point,0047 Chilco & Beach,24 Hour,3924,1317,3344,3647,2,1,0,0
2022-01-01 11:00,2022-01-01 12:00,0100 Stanley Park - Prospect Point,0047 Chilco & Beach,24 Hour,3914,1300,3673,3919,1,0,0,0
2022-01-01 12:00,2022-01-01 12:00,0089 Burrard & Drake,0108 1st & Chestnut,365 Day Founding Plus,1582,485,3468,3737,2,3,0,0
2022-01-01 12:00,2022-01-01 12:00,0087 Broughton & Burnaby,0037 Hornby & Nelson,30 Day Pass,1174,529,3500,3660,1,0,0,0
2022-01-01 12:00,2022-01-01 13:00,0125 Hamilton & Robson,0222 Adanac & McLean,365 Standard,3373,1099,3655,3808,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0011 Ontario & Seawall,0055 Keefer & Columbia,365 Day Founding Plus,1078,362,3598,3764,3,4,0,0
2022-01-01 13:00,2022-01-01 13:00,0011 Ontario & Seawall,0055 Keefer & Columbia,365 Day Founding Plus,1084,351,3647,3900,2,4,0,0
2022-01-01 13:00,2022-01-01 13:00,0002 Burrard Station (Melville & Dunsmuir),0187 Bute & Davie,Community Pass,1327,601,3557,3785,2,3,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0093 Chilco & Robson,24 Hour,2644,1201,3627,3824,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0093 Chilco & Robson,24 Hour,2650,1103,3666,3913,2,3,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0093 Chilco & Robson,24 Hour,2628,1160,3447,3568,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0093 Chilco & Robson,24 Hour,2660,1172,3671,3827,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0014 Canada Place,24 Hour,0,18,3660,3785,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0093 Chilco & Robson,24 Hour,2644,1148,3423,3742,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0218 Carrall & Seawall,0009 Spyglass & Seawall,365 Standard,1782,487,3297,3627,2,4,0,0
2022-01-01 13:00,2022-01-01 13:00,0218 Carrall & Seawall,0009 Spyglass & Seawall,365 Standard,1790,501,3544,3697,3,5,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0014 Canada Place,24 Hour,112,361,3623,3818,2,1,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0014 Canada Place,24 Hour,116,360,3621,3673,1,0,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0014 Canada Place,24 Hour,104,419,3711,3782,2,1,0,0
2022-01-01 13:00,2022-01-01 13:00,0014 Canada Place,0014 Canada Place,24 Hour,38,443,3637,3605,2,1,0,0
2022-01-01 13:00,2022-01-01 13:00,0212 Union & Dunlevy,0215 Princess & Union,365 Corporate Plus Renewal,341,136,3656,3823,2,3,0,0
2022-01-01 13:00,2022-01-01 13:00,0199 Georgia & Main,0212 Union & Dunlevy,365 Corporate Plus Renewal,414,178,3550,3660,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0209 Stanley Park - Information Booth,0105 Stanley Park - Totem Poles,24 Hour,990,798,3682,3753,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0006 Olympic Village Station,0155 Arbutus & McNicoll,365 Standard,3791,1240,3752,3885,2,2,0,0
2022-01-01 13:00,2022-01-01 13:00,0215 Princess & Union,0199 Georgia & Main,365 Corporate Plus Renewal,739,294,3534,3648,1,0,0,0
2022-01-01 13:00,2022-01-01 14:00,0136 David Lam Park - West,0028 Davie & Beach,24 Hour,2911,3113,3777,3864,2,2,0,0
2022-01-01 13:00,2022-01-01 14:00,0093 Chilco & Robson,0104 Stanley Park - Second Beach South,24 Hour,1147,448,3679,3874,3,3,0,0
2022-01-01 13:00,2022-01-01 14:00,0093 Chilco & Robson,0104 Stanley Park - Second Beach South,24 Hour,1147,504,3590,3668,3,3,0,0
2022-01-01 13:00,2022-01-01 14:00,0093 Chilco & Robson,0104 Stanley Park - Second Beach South,24 Hour,1141,548,3779,3903,3,3,0,0
2022-01-01 13:00,2022-01-01 14:00,0093 Chilco & Robson,0104 Stanley Park - Second Beach South,24 Hour,1165,523,3715,3885,3,4,0,0
2022-01-01 13:00,2022-01-01 14:00,0093 Chilco & Robson,0104 Stanley Park - Second Beach South,24 Hour,1145,566,3513,3758,3,3,0,0
2022-01-01 13:00,2022-01-01 14:00,0014 Canada Place,0102 Stanley Park - Second Beach North,Community Pass,3559,831,3598,3845,2,5,0,0
2022-01-01 13:00,2022-01-01 14:00,0105 Stanley Park - Totem Poles,0100 Stanley Park - Prospect Point,24 Hour,4331,3157,3666,3782,2,2,0,0
2022-01-01 14:00,2022-01-01 14:00,0177 Quebec & 1st,0177 Quebec & 1st,365 Standard,0,33,3539,3568,2,1,0,0
2022-01-01 14:00,2022-01-01 14:00,0093 Chilco & Robson,0209 Stanley Park - Information Booth,365 Standard,0,599,3545,3731,2,2,0,0
2022-01-01 14:00,2022-01-01 14:00,0104 Stanley Park - Second Beach South,0209 Stanley Park - Information Booth,24 Hour,1727,631,3653,3876,4,3,0,0
2022-01-01 14:00,2022-01-01 14:00,0032 Comox & Denman,0065 Cypress & Cornwall,365 Day Founding Plus,3144,1139,3508,3716,3,3,0,0
2022-01-01 14:00,2022-01-01 14:00,0100 Stanley Park - Prospect Point,0104 Stanley Park - Second Beach South,24 Hour,3265,1233,3689,3850,3,2,0,0
2022-01-01 14:00,2022-01-01 14:00,0174 1st & Manitoba,0058 Homer & Smithe,30 Day Pass,2975,1136,3608,3777,3,3,0,0
2022-01-01 14:00,2022-01-01 15:00,0010 Stamps Landing,0154 Kitsilano Beach Park,365 Plus,4598,1659,3758,3869,3,3,0,0
2022-01-01 15:00,2022-01-01 15:00,0044 Pacific & Richards,0079 Nelson & Richards,30 Day Pass,769,315,3637,3811,3,2,0,0
2022-01-01 15:00,2022-01-01 15:00,0093 Chilco & Robson,0019 Robson & Hornby,24 Hour,1731,1078,3752,3992,3,4,0,0
2022-01-01 15:00,2022-01-01 15:00,0093 Chilco & Robson,0019 Robson & Hornby,24 Hour,0,1231,3350,3463,2,2,0,0
2022-01-01 15:00,2022-01-01 15:00,0093 Chilco & Robson,0019 Robson & Hornby,24 Hour,1805,1207,3887,4013,2,3,0,0
2022-01-01 15:00,2022-01-01 15:00,0093 Chilco & Robson,0019 Robson & Hornby,24 Hour,1768,1228,3734,3881,2,4,0,0
2022-01-01 15:00,2022-01-01 15:00,0089 Burrard & Drake,0123 Georgia & Thurlow,365 Plus,1278,582,3431,3611,2,2,0,0
2022-01-01 15:00,2022-01-01 15:00,0093 Chilco & Robson,0019 Robson & Hornby,24 Hour,1725,1470,3608,3766,2,4,0,0
2022-01-01 15:00,2022-01-01 15:00,0098 Carrall & Hastings,0073 Ontario & 5th,365 Plus,2068,720,3399,3602,3,4,0,0
2022-01-01 15:00,2022-01-01 15:00,0006 Olympic Village Station,0026 Beatty & Robson,365 Corporate Plus Renewal,1533,614,3710,3890,3,4,0,0
2022-01-01 15:00,2022-01-01 15:00,0008 8th & Ash,0031 Morton & Denman,365 Corporate Plus,5731,2171,3598,3793,2,4,252,1
2022-01-01 15:00,2022-01-01 15:00,0103 Stanley Park - Third Beach Parking Lot,0093 Chilco & Robson,24 Hour,2920,1103,3777,3995,2,2,0,0
2022-01-01 15:00,2022-01-01 15:00,0103 Stanley Park - Third Beach Parking Lot,0093 Chilco & Robson,24 Hour,2852,1083,3576,3892,2,2,0,0
2022-01-01 15:00,2022-01-01 15:00,0103 Stanley Park - Third Beach Parking Lot,0093 Chilco & Robson,24 Hour,2809,1603,3905,3926,1,2,0,0
2022-01-01 15:00,2022-01-01 15:00,0103 Stanley Park - Third Beach Parking Lot,0103 Stanley Park - Third Beach Parking Lot,24 Hour,0,18,3721,3776,2,1,0,0
2022-01-01 15:00,2022-01-01 15:00,0103 Stanley Park - Third Beach Parking Lot,0093 Chilco & Robson,24 Hour,0,1453,3400,3416,1,2,14,1
2022-01-01 15:00,2022-01-01 15:00,0177 Quebec & 1st,0064 Expo & Smithe,365 Standard,2,23,3665,3566,4,3,0,0
2022-01-01 15:00,2022-01-01 15:00,0103 Stanley Park - Third Beach Parking Lot,0093 Chilco & Robson,24 Hour,2879,1399,3581,3739,2,3,0,0
2022-01-01 15:00,2022-01-01 15:00,0154 Kitsilano Beach Park,0154 Kitsilano Beach Park,365 Plus,6287,3235,3692,3790,4,3,0,0
2022-01-01 15:00,2022-01-01 15:00,0073 Ontario & 5th,0098 Carrall & Hastings,365 Plus,2064,664,3423,3658,3,3,0,0
2022-01-01 15:00,2022-01-01 15:00,0058 Homer & Smithe,0057 Marinaside & Cooperage,365 Corporate Plus Renewal,675,247,3539,3642,3,3,0,0
2022-01-01 15:00,2022-01-01 16:00,0154 Kitsilano Beach Park,0010 Stamps Landing,365 Plus,4567,1841,3698,3829,4,3,0,0
2022-01-01 15:00,2022-01-01 16:00,0213 Pender & Gore,0034 Cordova & Bute,365 Standard,2448,803,3513,3790,3,5,0,0
2022-01-01 15:00,2022-01-01 16:00,0028 Davie & Beach,0136 David Lam Park - West,24 Hour,2501,1381,3650,3889,3,2,0,0
2022-01-01 16:00,2022-01-01 16:00,0039 Helmcken & Burrard,0004 Yaletown-Roundhouse Station,365 Plus,912,424,3521,3760,2,3,0,0
2022-01-01 16:00,2022-01-01 16:00,0063 Robson & Granville,0015 Granville & Georgia,30 Day Pass,1392,839,3682,3852,2,3,0,0
2022-01-01 16:00,2022-01-01 16:00,0103 Stanley Park - Third Beach Parking Lot,0103 Stanley Park - Third Beach Parking Lot,24 Hour,467,528,3727,3823,1,0,0,0
2022-01-01 16:00,2022-01-01 16:00,0103 Stanley Park - Third Beach Parking Lot,0103 Stanley Park - Third Beach Parking Lot,24 Hour,496,506,3764,3872,1,0,0,0
2022-01-01 16:00,2022-01-01 16:00,0093 Chilco & Robson,0084 Beach & Broughton,365 Corporate Plus,1711,539,3818,3950,3,4,0,0
2022-01-01 16:00,2022-01-01 16:00,0009 Spyglass & Seawall,0066 Anderson & 2nd,30 Day Pass,2227,604,3550,3681,3,4,0,0
2022-01-01 16:00,2022-01-01 16:00,0088 Harwood & Bute,0063 Robson & Granville,30 Day Pass,1598,861,3887,3939,2,3,0,0
2022-01-01 16:00,2022-01-01 16:00,0088 Harwood & Bute,0063 Robson & Granville,30 Day Pass,1651,937,3653,3845,2,2,0,0
2022-01-01 16:00,2022-01-01 17:00,0098 Carrall & Hastings,0063 Robson & Granville,Community Pass,7545,3329,3619,3998,3,5,0,0
2022-01-01 16:00,2022-01-01 17:00,0273 Victoria & 4th,0273 Victoria & 4th,VIP,6961,3629,3726,4203,1,1,1139,1
2022-01-01 16:00,2022-01-01 17:00,0278 15th & Victoria (Trout Lake),0278 15th & Victoria (Trout Lake),VIP,9182,5090,3619,3930,2,4,0,0
2022-01-01 17:00,2022-01-01 17:00,0153 Arbutus Greenway & Fir,0058 Homer & Smithe,365 Day Founding Plus,3616,1320,3711,3961,2,2,0,0
2022-01-01 17:00,2022-01-01 17:00,0002 Burrard Station (Melville & Dunsmuir),0063 Robson & Granville,30 Day Pass,2168,1558,3582,3847,4,4,0,0
2022-01-01 17:00,2022-01-01 17:00,0066 Anderson & 2nd,0011 Ontario & Seawall,30 Day Pass,3191,957,3586,3776,4,5,0,0
2022-01-01 17:00,2022-01-01 17:00,0015 Granville & Georgia,0002 Burrard Station (Melville & Dunsmuir),30 Day Pass,2603,1411,3634,3756,2,3,0,0
2022-01-01 17:00,2022-01-01 18:00,0063 Robson & Granville,0187 Bute & Davie,Community Pass,6187,3454,3847,3921,3,4,760,1
2022-01-01 18:00,2022-01-01 18:00,0037 Hornby & Nelson,0040 Cardero & Davie,30 Day Pass,1531,607,3511,3716,2,1,0,0
2022-01-01 18:00,2022-01-01 18:00,0084 Beach & Broughton,0102 Stanley Park - Second Beach North,Archived Monthly Plus,2009,667,3652,3900,2,4,0,0
2022-01-01 18:00,2022-01-01 18:00,0019 Robson & Hornby,0045 Beach & Hornby,365 Day Founding Plus,1221,459,3753,3906,4,4,0,0
2022-01-01 18:00,2022-01-01 18:00,0129 Richards & Robson,0081 7th & Heather,365 Corporate Plus Renewal,2405,918,3706,3856,2,4,0,0
2022-01-01 18:00,2022-01-01 18:00,0004 Yaletown-Roundhouse Station,0148 Creekside Park North,365 Standard,1735,597,3761,3972,1,4,0,0
2022-01-01 18:00,2022-01-01 18:00,0026 Beatty & Robson,0174 1st & Manitoba,30 Day Pass,2250,715,3724,3916,2,4,0,0
2022-01-01 18:00,2022-01-01 18:00,0063 Robson & Granville,0063 Robson & Granville,30 Day Pass,1104,780,3740,3964,4,5,0,0
2022-01-01 18:00,2022-01-01 18:00,0087 Broughton & Burnaby,0019 Robson & Hornby,365 Standard,2399,1663,3869,3834,3,4,0,0
2022-01-01 18:00,2022-01-01 19:00,0071 14th & Granville,0071 14th & Granville,365 Plus,867,363,3682,3779,2,-1,0,0
2022-01-01 18:00,2022-01-01 19:00,0079 Nelson & Richards,0017 Marinaside & Davie,30 Day Pass,2005,1631,3692,3787,3,4,0,0
2022-01-01 18:00,2022-01-01 19:00,0209 Stanley Park - Information Booth,0209 Stanley Park - Information Booth,24 Hour,2197,2511,3706,3831,2,4,0,0
2022-01-01 18:00,2022-01-01 19:00,0187 Bute & Davie,0098 Carrall & Hastings,Community Pass,3367,1795,3871,4048,5,4,405,1
2022-01-01 18:00,2022-01-01 19:00,0057 Marinaside & Cooperage,0218 Carrall & Seawall,365 Plus,943,4506,3518,3549,3,2,0,0
2022-01-01 19:00,2022-01-01 19:00,0017 Marinaside & Davie,0129 Richards & Robson,30 Day Pass,1012,1724,3692,3768,4,3,0,0
2022-01-01 19:00,2022-01-01 20:00,0129 Richards & Robson,0019 Robson & Hornby,30 Day Pass,2623,1531,3644,3808,4,5,0,0
2022-01-01 19:00,2022-01-01 20:00,0011 Ontario & Seawall,0032 Comox & Denman,365 Day Founding Plus,5539,1543,3653,3918,3,5,0,0
2022-01-01 20:00,2022-01-01 20:00,0019 Robson & Hornby,0063 Robson & Granville,30 Day Pass,1200,1511,3648,3787,5,5,0,0
2022-01-01 20:00,2022-01-01 20:00,0193 Science World,0143 South False Creek Seawall,365 Corporate Standard Renewal,2527,540,3718,3814,1,4,0,0
2022-01-01 20:00,2022-01-01 21:00,0063 Robson & Granville,0034 Cordova & Bute,30 Day Pass,2191,1722,3621,3805,6,5,0,0
2022-01-01 21:00,2022-01-01 21:00,0207 Alberni & Jervis,0089 Burrard & Drake,365 Plus,1580,565,3603,3908,4,4,0,0
2022-01-01 21:00,2022-01-01 21:00,0063 Robson & Granville,0026 Beatty & Robson,30 Day Pass,667,219,3673,3840,4,5,0,0
2022-01-01 21:00,2022-01-01 21:00,0212 Union & Dunlevy,0234 Station & National,Community Pass,745,300,3434,3679,3,3,0,0
2022-01-01 21:00,2022-01-01 21:00,0190 Melville & Bute,0063 Robson & Granville,30 Day Pass,969,485,3470,3615,4,5,0,0
2022-01-01 21:00,2022-01-01 22:00,0035 Coal Harbour Community Centre,0235 Charles & Commercial,365 Plus,6005,1967,3557,3927,4,4,0,0
2022-01-01 22:00,2022-01-01 22:00,0187 Bute & Davie,0002 Burrard Station (Melville & Dunsmuir),Community Pass,1329,530,3702,3802,4,5,0,0
2022-01-01 22:00,2022-01-01 22:00,0064 Expo & Smithe,0019 Robson & Hornby,365 Day Founding Plus,1125,397,3544,3619,4,6,0,0
2022-01-01 22:00,2022-01-01 22:00,0235 Charles & Commercial,0190 Melville & Bute,365 Plus,5156,1981,3723,4008,4,5,0,0
2022-01-01 22:00,2022-01-01 22:00,0297 6th & Prince Edward,0242 8th & Commercial,365 Standard,2519,787,3673,3832,4,5,0,0
2022-01-01 22:00,2022-01-01 23:00,0012 Dunsmuir & Richards,0030 Abbott & Cordova,Community Pass,3939,1810,3631,3755,4,5,533,3
2022-01-01 23:00,2022-01-01 23:00,0084 Beach & Broughton,0028 Davie & Beach,365 Corporate Plus,814,198,3623,3898,5,6,0,0
2022-01-01 23:00,2022-01-01 23:00,0044 Pacific & Richards,0079 Nelson & Richards,365 Corporate Plus Renewal,692,185,3629,3715,5,7,0,0
2022-01-01 23:00,2022-01-01 23:00,0139 Burrard & 4th,0065 Cypress & Cornwall,365 Corporate Standard Renewal,712,184,3869,3961,4,5,0,0
2022-01-01 23:00,2022-01-02 0:00,0030 Abbott & Cordova,0019 Robson & Hornby,Community Pass,4974,2719,3640,3790,6,6,1040,4
2022-01-01 23:00,2022-01-02 10:00,0124 Richards & Cordova,0980 Workshop - Balancer Bike Check In,365 Standard,1431,40285,3976,4047,5,5,30110,2
2022-01-02 0:00,2022-01-02 0:00,0031 Morton & Denman,0008 8th & Ash,365 Corporate Plus,4688,1478,3650,3877,5,6,0,0
2022-01-02 0:00,2022-01-02 0:00,0239 Grant & Commercial,0253 Charles & Woodland,Community Pass,500,280,3537,3621,4,4,0,0
2022-01-02 0:00,2022-01-02 0:00,0019 Robson & Hornby,0089 Burrard & Drake,Community Pass,4708,2535,3569,3790,7,4,811,5
2022-01-02 0:00,2022-01-02 0:00,0026 Beatty & Robson,0129 Richards & Robson,30 Day Pass,1223,884,3645,3835,4,5,0,0
2022-01-02 0:00,2022-01-02 1:00,0129 Richards & Robson,0063 Robson & Granville,30 Day Pass,1805,1063,3687,3882,4,5,0,0
2022-01-02 0:00,2022-01-02 1:00,0089 Burrard & Drake,0063 Robson & Granville,Community Pass,3871,2114,3650,3839,5,6,334,3
2022-01-02 1:00,2022-01-02 1:00,0063 Robson & Granville,0036 Bute & Robson,Community Pass,2983,1420,3732,3861,6,6,204,1
2022-01-02 1:00,2022-01-02 1:00,0063 Robson & Granville,0063 Robson & Granville,30 Day Pass,1408,1079,3715,3921,6,6,0,0
2022-01-02 1:00,2022-01-02 2:00,0036 Bute & Robson,0005 Dunsmuir & Beatty,Community Pass,4098,1643,3763,3887,5,5,371,2
2022-01-02 3:00,2022-01-02 4:00,0287 Carolina & Great Northern Way,0126 Thurlow & Pendrell,365 Plus,4608,1940,3578,3893,2,2,0,0
2022-01-02 3:00,2022-01-03 13:00,0197 1st & Scotia,0030 Abbott & Cordova,Community Pass,3016,1427,0,3499,0,4,0,0
2022-01-02 3:00,2022-01-05 11:00,0197 1st & Scotia,0177 Quebec & 1st,365 Standard,473,282,0,3661,0,3,0,0
2022-01-02 8:00,2022-01-02 8:00,0205 Pine & 10th,0066 Anderson & 2nd,365 Standard,1119,395,3492,3603,2,4,0,0
2022-01-02 9:00,2022-01-02 9:00,0136 David Lam Park - West,0193 Science World,365 Standard,2527,1282,3581,3702,5,3,0,0
2022-01-02 9:00,2022-01-02 10:00,0193 Science World,0010 Stamps Landing,365 Standard,1639,892,3565,3716,6,3,0,0
2022-01-02 10:00,2022-01-02 10:00,0089 Burrard & Drake,0019 Robson & Hornby,365 Standard,935,285,3531,3710,6,7,0,0
2022-01-02 10:00,2022-01-02 10:00,0066 Anderson & 2nd,0066 Anderson & 2nd,365 Standard,2101,1214,3586,3739,7,4,0,0
2022-01-02 10:00,2022-01-02 10:00,0089 Burrard & Drake,0012 Dunsmuir & Richards,Archived Monthly Plus,1772,604,3626,3889,5,5,0,0
2022-01-02 10:00,2022-01-02 10:00,0010 Stamps Landing,0066 Anderson & 2nd,365 Standard,1986,889,3584,3739,6,4,0,0
2022-01-02 10:00,2022-01-02 11:00,0066 Anderson & 2nd,0045 Beach & Hornby,365 Standard,2246,1171,3587,3745,7,4,0,0
2022-01-02 10:00,2022-01-02 11:00,0122 Haro & Denman,0014 Canada Place,365 Day Founding Plus,2642,964,3792,4005,5,7,0,0
2022-01-02 11:00,2022-01-02 11:00,0044 Pacific & Richards,0139 Burrard & 4th,30 Day Pass,2238,900,3589,3647,7,5,0,0
2022-01-02 11:00,2022-01-02 11:00,0045 Beach & Hornby,0136 David Lam Park - West,365 Standard,955,439,3602,3744,7,4,0,0
2022-01-02 11:00,2022-01-02 11:00,0039 Helmcken & Burrard,0019 Robson & Hornby,30 Day Pass,592,241,3779,3852,5,6,0,0
2022-01-02 12:00,2022-01-02 12:00,0187 Bute & Davie,0125 Hamilton & Robson,365 Standard,1988,774,3665,3792,7,6,0,0
2022-01-02 12:00,2022-01-02 12:00,0187 Bute & Davie,0187 Bute & Davie,365 Standard,0,77,3726,3795,5,4,0,0
2022-01-02 12:00,2022-01-02 12:00,0025 Homer & Robson (Vancouver Public Library),0089 Burrard & Drake,Archived Monthly Plus,1513,659,3756,3958,5,7,0,0
2022-01-02 13:00,2022-01-02 13:00,0084 Beach & Broughton,0104 Stanley Park - Second Beach South,30 Day Pass,2027,885,3963,4040,7,6,0,0
2022-01-02 13:00,2022-01-02 13:00,0002 Burrard Station (Melville & Dunsmuir),0187 Bute & Davie,Community Pass,1274,497,3718,3826,6,7,0,0
2022-01-02 13:00,2022-01-02 13:00,0212 Union & Dunlevy,0222 Adanac & McLean,Community Pass,1690,463,3586,3750,6,7,0,0
2022-01-02 13:00,2022-01-02 13:00,0011 Ontario & Seawall,0084 Beach & Broughton,30 Day Pass,4484,1380,3866,4072,5,6,0,0
2022-01-02 13:00,2022-01-02 13:00,0173 1st & Columbia,0150 Alexander & Main,365 Day Founding Plus,2219,669,3694,3897,6,8,0,0
2022-01-02 13:00,2022-01-02 14:00,0012 Dunsmuir & Richards,0190 Melville & Bute,365 Standard,969,370,3619,3839,6,8,0,0
2022-01-02 13:00,2022-01-02 14:00,0138 Richards & Helmcken,0234 Station & National,Community Pass,2554,1178,3636,3677,6,7,0,0
2022-01-02 13:00,2022-01-03 7:00,0202 14th & Oak,0211 14th & Alder,Community Pass,328,67080,3629,3634,6,4,65339,1
2022-01-02 14:00,2022-01-02 14:00,0081 7th & Heather,0053 Keefer & Abbott,365 Standard,3199,784,3735,3901,7,9,0,0
2022-01-02 14:00,2022-01-02 14:00,0081 7th & Heather,0198 5th & Main,365 Standard,1551,521,3745,4024,6,5,0,0
2022-01-02 14:00,2022-01-02 14:00,0278 15th & Victoria (Trout Lake),0273 Victoria & 4th,VIP,1163,350,3974,4140,6,6,0,0
2022-01-02 14:00,2022-01-02 14:00,0159 Vine & 4th,0205 Pine & 10th,30 Day Pass,108,822,3590,3652,6,5,0,0
2022-01-02 14:00,2022-01-02 14:00,0248 St George & Broadway,0075 Arbutus & 10th,365 Day Founding Plus,4704,1489,3497,3650,6,9,0,0
2022-01-02 14:00,2022-01-02 14:00,0273 Victoria & 4th,0278 15th & Victoria (Trout Lake),VIP,1157,323,3980,4127,6,6,0,0
2022-01-02 14:00,2022-01-02 14:00,0122 Haro & Denman,0092 Chilco & Barclay,365 Corporate Plus Renewal,490,249,3602,3774,7,7,0,0
2022-01-02 14:00,2022-01-02 15:00,0036 Bute & Robson,0055 Keefer & Columbia,365 Day Founding Plus,4000,1416,3716,4009,7,8,0,0
2022-01-02 14:00,2022-01-02 15:00,0036 Bute & Robson,0055 Keefer & Columbia,365 Day Founding Plus,4016,1422,3613,3813,6,8,0,0
2022-01-02 14:00,2022-01-02 15:00,0212 Union & Dunlevy,0009 Spyglass & Seawall,Community Pass,2425,3149,3518,3636,6,7,16,1
2022-01-02 14:00,2022-01-02 15:00,0104 Stanley Park - Second Beach South,0100 Stanley Park - Prospect Point,30 Day Pass,6219,3647,3882,4088,6,5,0,0
2022-01-02 15:00,2022-01-02 15:00,0177 Quebec & 1st,0064 Expo & Smithe,365 Standard,1717,499,3681,3792,6,7,0,0
2022-01-02 15:00,2022-01-02 15:00,0125 Hamilton & Robson,0190 Melville & Bute,365 Day Pass Plus SALE,1431,580,3740,3872,7,7,0,0
2022-01-02 15:00,2022-01-02 15:00,0198 5th & Main,0171 5th & Yukon,365 Standard,904,381,3840,4000,6,5,0,0
2022-01-02 15:00,2022-01-02 15:00,0102 Stanley Park - Second Beach North,0028 Davie & Beach,30 Day Pass,1445,783,4021,4093,6,5,0,0
2022-01-02 15:00,2022-01-02 15:00,0008 8th & Ash,0031 Morton & Denman,365 Corporate Plus,5196,1525,3679,3903,7,8,0,0
2022-01-02 15:00,2022-01-02 15:00,0137 Beach & Seymour,0215 Princess & Union,365 Standard,3732,848,3797,3990,6,6,0,0
