Date,day_length,min_temp,max_temp,mean_temp,temp_diff,hdd,cdd,rain,snow,total_precip,snow_on_ground,max_gust,mean_dep_temp,mean_ret_temp,mean_ride_temp,total_dist,total_duration,ebike_trips,num_trips,adj_num_trips,temp_residuals
2017-03-10,694.1833333333333,3.5,8.8,6.2,5.300000000000001,11.8,0.0,4.0,0.0,4.0,0.0,0.0,10.868062827225131,11.701570680628272,11.284816753926702,2338209.0,906801.0,0.0,955,2258.1547276142123,-320.1864280052789
2017-03-11,698.1833333333333,4.3,9.3,6.8,5.000000000000001,11.2,0.0,9.4,0.0,9.4,0.0,8.0,8.514754098360656,9.826229508196722,9.17049180327869,636872.0,250821.0,0.0,305,1607.2389588292049,-1046.1414567032484
2017-03-12,702.1833333333333,6.6,9.7,8.2,3.1,9.8,0.0,4.2,0.0,4.2,0.0,4.0,10.301724137931034,11.408045977011492,10.854885057471265,911441.0,388403.0,0.0,348,1649.3231900441976,-1063.9054796616238
2017-03-13,705.1833333333333,7.0,10.3,8.7,3.3000000000000007,9.3,0.0,10.8,0.0,10.8,0.0,4.0,10.256363636363636,11.663636363636364,10.96,1352286.0,703076.0,0.0,550,1850.4074212591904,-953.0515140991874
2017-03-14,709.1833333333333,7.6,14.4,11.0,6.800000000000001,7.0,0.0,9.8,0.0,9.8,0.0,12.0,13.624649859943975,14.822128851540617,14.223389355742295,1541001.0,544753.0,0.0,714,2013.4916524741832,-1411.882749422538
2017-03-15,713.1833333333333,7.3,10.9,9.1,3.6000000000000005,8.9,0.0,4.2,0.0,4.2,0.0,2.0,11.280323450134771,12.563342318059298,11.921832884097036,1602395.0,492080.0,0.0,742,2040.575883689176,-852.1975485367509
2017-03-16,716.1833333333333,4.7,9.5,7.1,4.8,10.9,0.0,2.0,0.0,2.0,0.0,10.0,8.408031088082902,9.677461139896373,9.042746113989637,1731206.0,825157.0,0.0,772,2069.660114904169,-609.5234681824361
2017-03-17,720.2,3.0,9.1,6.1,6.1,11.9,0.0,10.2,0.0,10.2,0.0,10.0,8.862371888726209,10.011713030746703,9.437042459736457,1679784.0,710054.0,0.0,683,1979.7443461191615,-637.7594452240605
2017-03-18,724.2,4.7,8.3,6.5,3.6000000000000005,11.5,0.0,10.2,0.0,10.2,0.0,17.0,10.763574660633484,11.132352941176473,10.94796380090498,2401624.0,1279673.0,0.0,884,2179.828577334154,-315.2313993073094
2017-03-19,727.2,1.3,9.2,5.3,7.899999999999999,12.7,0.0,0.0,0.0,0.0,0.0,1.0,12.195121951219512,12.303287380699894,12.249204665959702,2912058.0,1382360.0,0.0,943,2237.912808549147,-392.95045096365425
2017-03-20,731.2,-1.4,8.7,3.7,10.1,14.3,0.0,0.0,0.0,0.0,0.0,4.0,10.196208530805688,11.092890995260664,10.644549763033176,2517716.0,1194247.0,0.0,1055,2348.99703976414,-204.99542226568474
2017-03-21,735.2,6.1,11.7,8.9,5.6,9.1,0.0,5.8,0.0,5.8,0.0,8.0,11.02026049204052,12.124457308248914,11.572358900144716,1519142.0,620243.0,0.0,691,1984.0812709791326,-1024.725594453502
2017-03-22,738.2,6.0,12.5,9.3,6.5,8.7,0.0,2.6,0.0,2.6,0.0,21.0,11.47009735744089,12.634214186369958,12.052155771905424,1559283.0,527721.0,0.0,719,2011.1655021941253,-1118.2536403702534
2017-03-23,742.2,4.1,12.3,8.2,8.200000000000001,9.8,0.0,4.6,0.0,4.6,0.0,19.0,11.48060941828255,12.552631578947368,12.01662049861496,1677453.0,828425.0,0.0,722,2013.249733409118,-1084.8716288910655
2017-03-24,746.2,5.6,10.8,8.2,5.200000000000001,9.8,0.0,6.6,0.0,6.6,0.0,4.0,10.409158050221563,11.53618906942393,10.972673559822749,1545501.0,540917.0,0.0,677,1967.3339646241106,-902.006542797157
2017-03-25,749.2,6.3,10.9,8.6,4.6000000000000005,9.4,0.0,1.0,0.0,1.0,0.0,8.0,13.539345711759506,13.73740053050398,13.638373121131742,3454189.0,1422124.0,0.0,1131,2420.4181958391036,-463.1975485367509
2017-03-26,753.2,5.6,9.9,7.8,4.300000000000001,10.2,0.0,15.0,0.0,15.0,0.0,8.0,9.0,10.061068702290076,9.530534351145038,607847.0,289657.0,0.0,262,1550.5024270540962,-1180.2874911408119
2017-03-27,757.2,5.9,12.1,9.0,6.199999999999999,9.0,0.0,7.2,0.0,7.2,0.0,8.0,12.245683930942896,13.237715803452856,12.741699867197877,1694245.0,672673.0,0.0,753,2040.5866582690892,-1023.4896174118776
2017-03-28,760.2,7.1,8.9,8.0,1.8000000000000007,10.0,0.0,29.6,0.0,29.6,0.0,17.0,8.456066945606695,9.916317991631798,9.186192468619248,447200.0,271296.0,0.0,239,1525.6708894840817,-1051.3774337448729
2017-03-29,764.2,5.8,13.5,9.7,7.7,8.3,0.0,24.8,0.0,24.8,0.0,25.0,12.117554858934168,13.12539184952978,12.621473354231972,1389715.0,555767.0,0.0,638,1923.7551206990747,-1351.1636977661922
2017-03-30,768.2,6.1,11.8,9.0,5.700000000000001,9.0,0.0,0.2,0.0,0.2,0.0,0.0,13.577223088923557,14.125585023400935,13.851404056162243,3562587.0,1652113.0,0.0,1282,2566.8393519140673,-448.916600193096
2017-03-31,771.2,4.0,11.7,7.9,7.699999999999999,10.1,0.0,0.8,0.0,0.8,0.0,0.0,12.558988764044944,13.596441947565545,13.077715355805244,2582839.0,1104080.0,0.0,1068,2351.92358312906,-647.725594453502
2017-04-01,775.2,6.4,10.8,8.6,4.4,9.4,0.0,11.2,0.0,11.2,0.0,10.0,13.720588235294118,14.039592760180996,13.880090497737555,2431175.0,989571.0,0.0,884,2167.007814344053,-695.006542797157
2017-04-02,779.2,5.7,10.6,8.2,4.9,9.8,0.0,0.0,0.0,0.0,0.0,21.0,14.176855895196509,14.144832605531295,14.1608442503639,4484856.0,1856832.0,0.0,1374,2656.092045559046,-174.62453131796906
2017-04-03,782.2166666666667,1.7,10.3,6.0,8.600000000000001,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.461598138091544,13.080682699767262,12.771140418929402,3479441.0,1386711.0,0.0,1289,2570.1762767740383,-214.05151409918744
2017-04-04,786.2166666666667,4.7,13.8,9.3,9.1,8.7,0.0,7.2,0.0,7.2,0.0,26.0,11.959949937421776,13.275344180225282,12.617647058823527,1731719.0,762232.0,0.0,799,2079.260507989031,-1235.736714984974
