Date,day_length,min_temp,max_temp,mean_temp,temp_diff,hdd,cdd,rain,snow,total_precip,snow_on_ground,max_gust,mean_dep_temp,mean_ret_temp,mean_ride_temp,total_dist,total_duration,ebike_trips,num_trips,adj_num_trips,trend_val
2022-04-03,781.2166666666667,6.0,9.2,7.6,3.2,10.4,0.0,16.6,0.0,16.6,0.0,26.0,9.121693121693122,10.145502645502646,9.633597883597885,872312.0,431512.0,0.0,378,275.9904098258219,1.3696128073383294
2022-04-04,785.2166666666667,6.0,9.7,7.9,3.6999999999999993,10.1,0.0,5.4,0.0,5.4,0.0,36.0,10.14967860422406,10.536271808999082,10.342975206611571,2413127.33,1977175.0,0.0,1089,794.4659780198178,1.370732076802457
2022-04-05,789.2166666666667,5.4,11.3,8.4,5.9,9.6,0.0,0.3,0.0,0.3,0.0,23.0,13.298330640818524,13.53096392030156,13.41464728056004,4851981.33,2203721.0,0.0,1857,1353.6452072986776,1.371851346266584
2022-04-06,792.2166666666667,2.4,10.6,6.5,8.2,11.5,0.0,0.0,0.0,0.0,0.0,2.0,13.270156438026474,13.725631768953068,13.49789410348977,4343534.0,2017229.0,0.0,1662,1210.513889341662,1.3729706157307116
2022-04-07,796.2166666666667,5.9,13.3,9.6,7.4,8.4,0.0,0.2,0.0,0.2,0.0,0.0,16.235820895522387,16.693532338308458,16.464676616915423,5259057.66,4127747.0,0.0,2010,1462.7864025903896,1.374089885194839
2022-04-08,799.2166666666667,6.8,11.8,9.3,5.000000000000001,8.7,0.0,4.4,0.0,4.4,0.0,26.0,12.727432590855804,13.29601406799531,13.011723329425555,4297837.0,1772972.0,0.0,1706,1240.5385713295848,1.3752091546589662
2022-04-09,803.2166666666667,5.3,9.5,7.4,4.2,10.6,0.0,0.0,0.0,0.0,0.0,17.0,13.43327154772938,13.265523632993512,13.349397590361445,6289421.34,3049815.0,0.0,2158,1567.9397171317858,1.3763284241230938
2022-04-10,807.2166666666667,2.7,9.2,6.0,6.499999999999999,12.0,0.0,1.4,0.0,1.4,0.0,2.0,11.221496005809731,11.188090050835148,11.20479302832244,3614848.33,2117948.0,0.0,1377,999.6749832394322,1.3774476935872213
2022-04-11,810.2166666666667,1.0,13.2,7.1,12.2,10.9,0.0,0.0,0.0,0.0,0.0,22.0,14.16566757493188,14.287193460490464,14.226430517711172,4926653.34,2594820.0,0.0,1835,1331.0923946257737,1.3785669630513484
2022-04-12,814.2166666666667,2.5,8.0,5.3,5.5,12.7,0.0,8.6,0.0,8.6,0.0,26.0,6.97766097240473,8.127463863337713,7.552562417871222,1687627.0,989253.0,0.0,761,551.5746856533657,1.379686232515476
2022-04-13,817.2166666666667,0.1,9.7,4.9,9.6,13.1,0.0,0.2,0.0,0.2,0.0,0.0,10.654723127035831,11.239956568946797,10.947339847991314,4509959.0,1970825.0,0.0,1842,1334.0039544738206,1.3808055019796035
2022-04-14,821.2166666666667,-1.7,10.9,4.6,12.6,13.4,0.0,0.0,0.0,0.0,0.0,3.0,12.858716475095786,13.063697318007662,12.961206896551724,5374315.66,2706859.0,0.0,2088,1510.9360821563503,1.3819247714437306
2022-04-15,824.2166666666667,2.5,8.8,5.7,6.300000000000001,12.3,0.0,4.3,0.0,4.3,0.0,0.0,10.468768242848803,10.736135434909515,10.602451838879158,4908992.0,3515337.0,0.0,1713,1238.572271983148,1.3830440409078582
2022-04-16,828.2166666666667,-1.2,10.9,4.9,12.1,13.1,0.0,0.0,0.0,0.0,0.0,9.0,14.11957796014068,13.746776084407973,13.933177022274323,7661258.99,4214987.0,0.0,2559,1848.7702865872698,1.3841633103719857
2022-04-17,831.2166666666667,2.9,12.6,7.8,9.7,10.2,0.0,0.0,0.0,0.0,0.0,2.0,14.93974683544304,14.743291139240506,14.841518987341772,5865194.67,3496261.0,0.0,1975,1425.7018955898902,1.3852825798361132
2022-04-18,835.2166666666667,5.5,11.8,8.7,6.300000000000001,9.3,0.0,19.2,0.0,19.2,0.0,38.0,9.137640449438202,10.17134831460674,9.65449438202247,795692.0,388572.0,0.0,356,256.7798075137336,1.3864018493002404
2022-04-19,838.2166666666667,5.7,11.1,8.4,5.4,9.6,0.0,0.0,0.0,0.0,0.0,3.0,13.076219512195122,13.422256097560975,13.24923780487805,5271950.67,3018075.0,0.0,1968,1418.3567899511088,1.387521118764368
2022-04-20,842.2333333333333,2.4,14.1,8.3,11.7,9.7,0.0,5.0,0.0,5.0,0.0,38.0,14.165256994144436,14.724788549121666,14.44502277163305,3816656.0,1688490.0,0.0,1537,1106.838035987682,1.3886403882284954
2022-04-21,845.2333333333333,5.8,12.7,9.3,6.9,8.7,0.0,9.3,0.0,9.3,0.0,2.0,12.506734006734009,13.31902356902357,12.912878787878787,2808494.0,1430545.0,0.0,1188,854.8240650274752,1.3897596576926226
2022-04-22,849.2333333333333,5.8,13.1,9.5,7.3,8.5,0.0,0.0,0.0,0.0,0.0,0.0,16.64787727434891,16.303603282197646,16.47574027827328,7929246.0,4343687.0,0.0,2803,2015.2724620897975,1.39087892715675
2022-04-23,852.2333333333333,3.8,15.1,9.5,11.3,8.5,0.0,0.0,0.0,0.0,0.0,0.0,18.36526381909548,17.922738693467338,18.14400125628141,9309834.0,4462585.0,0.0,3184,2287.359285183894,1.3919981966208776
2022-04-24,855.2333333333333,5.2,16.9,11.1,11.7,6.9,0.0,1.0,0.0,1.0,0.0,13.0,19.455133387227164,19.338722716248988,19.39692805173808,7421073.66,4440537.0,0.0,2474,1775.8732197598063,1.3931174660850048
2022-04-25,859.2333333333333,7.5,13.6,10.6,6.1,7.4,0.0,6.2,0.0,6.2,0.0,6.0,14.735276621058894,15.057108863771564,14.896192742415227,4167496.33,2096333.0,0.0,1681,1205.6775991760994,1.3942367355491323
2022-04-26,862.2333333333333,3.9,11.8,7.9,7.9,10.1,0.0,1.0,0.0,1.0,0.0,4.0,12.359133126934983,12.912074303405571,12.635603715170276,4401398.01,2013767.0,0.0,1615,1157.4107211332444,1.3953560050132598
2022-04-27,865.2333333333333,3.7,11.6,7.7,7.899999999999999,10.3,0.0,0.0,0.0,0.0,0.0,0.0,14.20521327014218,14.31563981042654,14.26042654028436,5556398.0,2302756.0,0.0,2110,1510.9469093820082,1.3964752744773874
2022-04-28,869.2333333333333,2.9,12.0,7.5,9.1,10.5,0.0,0.0,0.0,0.0,0.0,0.0,15.839321760193783,15.832458619297537,15.83589018974566,6784430.67,2704297.0,0.0,2477,1772.3309029343604,1.3975945439415145
2022-04-29,872.2333333333333,6.5,15.3,10.9,8.8,7.1,0.0,0.0,0.0,0.0,0.0,9.0,15.75949848024316,16.09954407294833,15.929521276595745,7385066.67,3132180.0,0.0,2632,1881.728753068868,1.398713813405642
2022-04-30,875.2333333333333,8.2,14.2,11.2,6.0,6.8,0.0,8.9,0.0,8.9,0.0,1.0,15.878954607977992,15.867491976157726,15.87322329206786,6667511.66,3053883.0,0.0,2181,1558.0429028929477,1.3998330828697696
2022-05-01,878.2333333333333,5.1,15.7,10.4,10.6,7.6,0.0,0.0,0.0,0.0,0.0,0.0,17.62330354187355,17.702085402184704,17.662694472029127,9168532.67,4192341.0,0.0,3021,2156.3902547914695,1.4009523523338967
2022-05-02,882.2333333333333,9.1,14.6,11.9,5.5,6.1,0.0,2.3,0.0,2.3,0.0,4.0,14.762683201803831,15.333145434047353,15.047914317925592,4875651.67,3139282.0,0.0,1774,1265.2705984627326,1.4020716217980242
2022-05-03,885.2333333333333,8.6,13.3,11.0,4.700000000000001,7.0,0.0,2.3,0.0,2.3,0.0,5.0,13.597087378640778,14.173370319001387,13.885228848821082,3768190.67,1612399.0,0.0,1442,1027.6577541797894,1.4031908912621518
2022-05-04,888.2333333333333,7.9,12.3,10.1,4.4,7.9,0.0,1.9,0.0,1.9,0.0,0.0,13.11507537688442,13.892964824120604,13.504020100502512,5193635.0,2889020.0,0.0,1990,1417.0658702425217,1.404310160726279
2022-05-05,891.2333333333333,8.1,10.7,9.4,2.6,8.6,0.0,11.6,0.0,11.6,0.0,8.0,10.653532608695652,11.622282608695652,11.137907608695652,1614793.0,738389.0,0.0,736,523.68335555652,1.4054294301904064
2022-05-06,894.2333333333333,6.85,12.2,9.55,5.35,8.45,0.0,0.0,0.0,0.0,0.0,4.0,14.687081659973224,14.882864792503346,14.784973226238286,8218326.99,4408335.0,0.0,2988,2124.3487699600378,1.406548699654534
2022-05-07,897.2333333333333,5.6,13.7,9.7,8.1,8.3,0.0,0.0,0.0,0.0,0.0,19.0,16.086834733893557,15.842086834733893,15.964460784313726,8297588.32,4438681.0,0.0,2856,2028.8875378674259,1.407667969118661
2022-05-08,900.25,5.9,11.6,8.8,5.699999999999999,9.2,0.0,3.2,0.0,3.2,0.0,0.0,15.817718541748334,15.511172089376714,15.664445315562524,7301758.0,4396525.0,0.0,2551,1810.7773339615528,1.4087872385827886
2022-05-09,903.25,7.0,13.9,10.5,6.9,7.5,0.0,3.5,0.0,3.5,0.0,2.0,15.728909952606635,15.848341232227488,15.788625592417064,5483146.0,2592380.0,0.0,2110,1496.553131684521,1.4099065080469162
2022-05-10,906.25,7.6,15.0,11.3,7.4,6.7,0.0,0.9,0.0,0.9,0.0,6.0,14.66129715981348,15.071216617210682,14.86625688851208,6120535.33,3068709.0,0.0,2359,1671.8333836261447,1.4110257775110437
2022-05-11,909.25,7.2,14.1,10.7,6.9,7.3,0.0,0.9,0.0,0.9,0.0,9.0,15.142159257449928,15.6038104543234,15.372984855886664,5031177.0,-703557261.0,0.0,2047,1449.5678077720804,1.4121450469751708
2022-05-12,912.25,6.8,10.5,8.7,3.7,9.3,0.0,6.6,0.0,6.6,0.0,27.0,10.054658385093168,11.135403726708075,10.595031055900622,1827771.33,703695.0,0.0,805,569.6032869691264,1.4132643164392984
2022-05-13,915.25,4.4,13.2,8.8,8.799999999999999,9.2,0.0,1.5,0.0,1.5,0.0,8.0,13.65451599837991,14.131227217496962,13.892871607938435,6902284.67,3504090.0,0.0,2469,1745.636773932827,1.414383585903426
2022-05-14,917.25,7.2,14.0,10.6,6.8,7.4,0.0,3.8,0.0,3.8,0.0,0.0,14.172798216276478,14.59866220735786,14.385730211817169,4710395.0,2238068.0,0.0,1794,1267.3941230123237,1.415502855367553
2022-05-15,920.25,10.7,13.9,12.3,3.200000000000001,5.7,0.0,24.3,0.0,24.3,0.0,10.0,13.649098474341192,14.533980582524272,14.091539528432731,1738212.0,664752.0,0.0,721,508.95717874353215,1.4166221248316806
2022-05-16,923.25,7.9,15.7,11.8,7.799999999999999,6.2,0.0,1.1,0.0,1.1,0.0,17.0,17.89153046062407,17.91158989598811,17.90156017830609,7217914.66,3074828.0,0.0,2692,1898.794809004724,1.4177413942958081
2022-05-17,925.25,6.4,14.6,10.5,8.2,7.5,0.0,0.0,0.0,0.0,0.0,6.0,16.46551724137931,16.815830721003135,16.64067398119122,6342103.0,2763124.0,0.0,2552,1798.6262253809207,1.4188606637599352
2022-05-18,928.25,8.2,15.5,11.9,7.300000000000001,6.1,0.0,5.7,0.0,5.7,0.0,31.0,16.584754262788366,17.005015045135405,16.794884653961887,4765774.33,2402455.0,0.0,1994,1404.2451962490943,1.4199799332240628
2022-05-19,930.25,8.0,14.7,11.4,6.699999999999999,6.6,0.0,0.0,0.0,0.0,0.0,25.0,16.875829034635224,17.079587324981578,16.977708179808403,7215125.33,3740054.0,0.0,2714,1909.7892637376215,1.4210992026881903
2022-05-20,933.25,3.9,15.0,9.5,11.1,8.5,0.0,0.0,0.0,0.0,0.0,0.0,19.212863705972435,19.10597243491577,19.159418070444104,9073465.67,4156406.0,0.0,3265,2295.709178252273,1.4222184721523174
2022-05-21,935.25,5.4,17.8,11.6,12.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0,21.488661302121432,21.065593757620093,21.27712752987076,13739114.34,6951943.0,0.0,4101,2881.2557133085,1.423337741616445
2022-05-22,938.25,8.0,19.6,13.8,11.6,4.2,0.0,0.0,0.0,0.0,0.0,9.0,22.57204138279081,22.00580368407772,22.288922533434267,13274470.0,7335901.0,0.0,3963,2782.1127413271147,1.4244570110805725
2022-05-23,940.25,11.7,16.7,14.2,5.0,3.8,0.0,0.0,0.0,0.0,0.0,4.0,20.980561555075592,20.662449861153966,20.821505708114778,9962679.0,5636810.0,0.0,3241,2273.4665582129655,1.4255762805447
2022-05-24,942.25,10.2,15.6,12.9,5.4,5.1,0.0,0.0,0.0,0.0,0.0,0.0,17.917358490566038,18.35547169811321,18.136415094339625,6787762.67,2830979.0,0.0,2650,1857.4390310417693,1.4266955500088272
2022-05-25,944.25,10.4,18.6,14.5,8.200000000000001,3.5,0.0,0.6,0.0,0.6,0.0,0.0,19.032024399542507,19.531452535264965,19.28173846740373,6644708.0,3289453.0,0.0,2623,1837.0729622824763,1.4278148194729547
2022-05-26,947.25,10.3,16.2,13.3,5.899999999999999,4.7,0.0,8.8,0.0,8.8,0.0,0.0,17.91624943104233,18.390532544378697,18.15339098771052,5555221.33,2428991.0,0.0,2197,1537.509684322981,1.4289340889370823
2022-05-27,949.25,10.0,15.7,12.9,5.699999999999999,5.1,0.0,8.0,0.0,8.0,0.0,12.0,18.18222794591114,18.404056664520283,18.29314230521571,8519528.0,3832587.0,0.0,3106,2171.946928940112,1.4300533584012094
2022-05-28,951.25,8.6,15.0,11.8,6.4,6.2,0.0,0.0,0.0,0.0,0.0,4.0,17.742111650485437,17.820084951456312,17.781098300970875,9831738.0,4855761.0,0.0,3296,2303.006594610563,1.431172627865337
2022-05-29,952.25,10.9,15.8,13.4,4.9,4.6,0.0,0.0,0.0,0.0,0.0,2.0,19.45310435931308,19.3110964332893,19.38210039630119,9613163.33,4466228.0,0.0,3028,2114.09420499115,1.4322918973294645
